trial_id,date,status,implementation,deployment_tier,protocol,migration_trigger,path_validation_observed,tuple_change_observed,application_task,application_success,manual_intervention_required,failure_layer,artifact_dir,notes
aws-nlb-h3-tcp-quic-443-001,2026-06-24,PASS,quic-go + AWS NLB,AWS NLB TCP_QUIC :443 passthrough,HTTP/3 over QUIC,"HTTP/3 POST upload before; AddPath -> Probe -> Switch through NLB; HTTP/3 GET download after",true,true,"before POST /upload 64KiB; after GET /download 64KiB",true,false,none,harness/results/aws-nlb-h3-tcp-quic-443-20260623T165841Z,"workload=h3; target-a received before/after HTTP/3 requests; client source port changed 54110 -> 50930; server observed remote addr change 211.60.158.133:54110 -> 211.60.158.133:50930; qlog ALPN h3 and PATH_CHALLENGE/PATH_RESPONSE; AWS resources cleaned up"
quic-go-local-h3-midflight-upload-001,2026-06-24,PASS,quic-go + HTTP/3,local direct origin,HTTP/3 over QUIC,"HTTP/3 POST /upload body in flight; migration triggered after threshold",true,true,"1MiB upload body",true,false,none,experiments/quic-go-min-repro/artifacts/local-h3-midflight-check/midflight-upload,"client final addr changed 53663 -> 63569; migration threshold 532480 bytes; server decoded full 1MiB upload; qlog ALPN h3 and PATH_CHALLENGE/PATH_RESPONSE observed"
quic-go-local-h3-midflight-download-001,2026-06-24,PASS,quic-go + HTTP/3,local direct origin,HTTP/3 over QUIC,"HTTP/3 streaming GET /download response in flight; migration triggered after threshold",true,true,"1MiB streaming download body",true,false,none,experiments/quic-go-min-repro/artifacts/local-h3-midflight-check/midflight-download,"client final addr changed 49959 -> 52767; migration threshold 524288 bytes; client decoded full 1MiB response; qlog ALPN h3 and PATH_CHALLENGE/PATH_RESPONSE observed"
aws-nlb-h3-midflight-upload-001,2026-06-24,PASS,quic-go + AWS NLB,AWS NLB TCP_QUIC :443 passthrough,HTTP/3 over QUIC,"HTTP/3 POST /upload body in flight; AddPath -> Probe -> Switch through NLB",true,true,"1MiB upload body",true,false,none,harness/results/aws-nlb-h3-midflight-upload-20260623T172119Z,"target-a decoded full 1MiB upload; client final addr changed 56276 -> 52824; qlog ALPN h3 and PATH_CHALLENGE/PATH_RESPONSE observed; AWS resources cleaned up"
aws-nlb-h3-midflight-download-001,2026-06-24,PASS,quic-go + AWS NLB,AWS NLB TCP_QUIC :443 passthrough,HTTP/3 over QUIC,"HTTP/3 streaming GET /download response in flight; AddPath -> Probe -> Switch through NLB",true,true,"1MiB streaming download body",true,false,none,harness/results/aws-nlb-h3-midflight-download-retry-20260623T173500Z,"target-b served full 1MiB streaming response with 16KiB chunks and 2ms delay; client final addr changed 61456 -> 63381; qlog ALPN h3 and PATH_CHALLENGE/PATH_RESPONSE observed; AWS resources cleaned up; first attempt hit dial timeout before migration and was retried after client start delay"
chrome-h3-local-baseline-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local browser baseline,HTTP/3 over QUIC,"Chrome --origin-to-force-quic-on local H3 origin; fixed test cert with SPKI exception",false,false,"GET /download?bytes=128 from Chrome browser to quic-go H3 server",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-local-spki-pass,"Chrome NetLog shows QUIC_SESSION and HTTP_STREAM_JOB using_quic=true; server received GET /download from 127.0.0.1:65402; qlog chosen_alpn=1 and http3_frame=5; no migration attempted in this baseline"
chrome-h3-local-sequence-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local browser baseline,HTTP/3 over QUIC,"Chrome --origin-to-force-quic-on local H3 origin; browser page loads two SVG subresources",false,false,"GET /browser-sequence plus two GET /pixel subresources from Chrome browser to quic-go H3 server",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-sequence-vtime-pass,"Chrome NetLog shows one target QUIC_SESSION and 3 HTTP_STREAM_JOB using_quic=true; server received 3 requests from same remote addr 127.0.0.1:53299; qlog chosen_alpn=1 and http3_frame=11; no migration attempted in this baseline"
chrome-h3-local-poll-nochange-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local browser no-change baseline,HTTP/3 over QUIC,"Chrome forced QUIC local H3 origin; browser polling page with no network-change command",false,false,"GET /browser-poll plus five sequential fetch GET /poll requests",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-poll-nochange-classifier-pass,"Classifier result no_path_change_baseline; server received 6 requests from same remote addr 127.0.0.1:60133; NetLog JSON parsed with one target QUIC_SESSION and 6 using_quic jobs; qlog chosen_alpn=1 and http3_frame=20; no PATH_CHALLENGE/PATH_RESPONSE"
chrome-h3-slow-inactive-if-toggle-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser limited network-change control,HTTP/3 over QUIC,"inactive Thunderbolt Bridge off/on during in-flight slow HTTP/3 subresource",false,false,"GET /browser-slow plus streaming GET /slow-js",true,false,trigger-no-active-path-change,repro/quic-go-min-repro/artifacts/chrome-h3-slow-inactive-if-toggle,"network_change_exit=0; classifier result no_path_change_baseline; server received 2 requests from same remote addr 127.0.0.1:53206; NetLog JSON parsed with one target QUIC_SESSION and 2 using_quic jobs; qlog no PATH_CHALLENGE/PATH_RESPONSE; this is not actual Wi-Fi/LTE handover"
chrome-h3-slow-wifi-ip-nochange-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local Wi-Fi IP browser baseline,HTTP/3 over QUIC,"server listens on 0.0.0.0:4443; Chrome origin is local Wi-Fi IP 192.168.32.190:4443; no network-change command",false,false,"GET /browser-slow plus streaming GET /slow-js",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-slow-wifi-ip-nochange,"classifier result no_path_change_baseline; server received 2 requests from same remote addr 192.168.32.190:61509; NetLog JSON parsed with one target QUIC_SESSION and 2 using_quic jobs; qlog no PATH_CHALLENGE/PATH_RESPONSE"
chrome-h3-slow-wifi-ip-inactive-if-toggle-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local Wi-Fi IP limited network-change control,HTTP/3 over QUIC,"server listens on 0.0.0.0:4443; Chrome origin is local Wi-Fi IP 192.168.32.190:4443; inactive Thunderbolt Bridge off/on during in-flight slow subresource",false,false,"GET /browser-slow plus streaming GET /slow-js",true,false,trigger-no-active-path-change,repro/quic-go-min-repro/artifacts/chrome-h3-slow-wifi-ip-inactive-if-toggle,"network_change_exit=0; classifier result no_path_change_baseline; server received 2 requests from same remote addr 192.168.32.190:56596; NetLog JSON parsed with one target QUIC_SESSION and 2 using_quic jobs; qlog no PATH_CHALLENGE/PATH_RESPONSE; non-loopback local origin but not actual active path handover"
chrome-h3-alt-svc-ip-literal-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser natural Alt-Svc control,HTTPS bootstrap plus advertised HTTP/3,"TCP HTTPS response advertises Alt-Svc h3 on 127.0.0.1; second request reuses same Chrome profile without --origin-to-force-quic-on",false,false,"two GET /download requests after Alt-Svc advertisement",true,false,browser-alt-svc-h3-not-observed,repro/quic-go-min-repro/artifacts/chrome-h3-alt-svc-local-20260624,"Alt-Svc header observed and h3 candidate job appears in NetLog; both server requests proto HTTP/1.1; no target QUIC_SESSION and qlog http3_frame=0; candidate job is not sufficient evidence"
chrome-h3-alt-svc-localhost-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser natural Alt-Svc control,HTTPS bootstrap plus advertised HTTP/3,"TCP HTTPS response advertises Alt-Svc h3 on localhost; second request reuses same Chrome profile without --origin-to-force-quic-on",false,false,"two GET /download requests after Alt-Svc advertisement",true,false,browser-alt-svc-h3-not-observed,repro/quic-go-min-repro/artifacts/chrome-h3-alt-svc-localhost-20260624,"Alt-Svc advertised and target QUIC session hint appears only in incomplete text-fallback NetLog; both server requests proto HTTP/1.1; qlog http3_frame=0; server/qlog evidence overrides NetLog hint"
chrome-h3-alt-svc-html-ip-literal-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser natural Alt-Svc HTML control,HTTPS bootstrap plus advertised HTTP/3,"HTML page and subresource workload on 127.0.0.1; Alt-Svc h3 advertised; no --origin-to-force-quic-on",false,false,"two HTML page requests plus two pixel subresources after Alt-Svc advertisement",true,false,browser-alt-svc-quic-candidate-cert-rejected,repro/quic-go-min-repro/artifacts/chrome-h3-alt-svc-html-local-20260624,"server handled all 4 requests as HTTP/1.1; qlog shows QUIC connection_started and one HTTP/3 settings frame but connection closed by remote with certificate unknown / CERTIFICATE_VERIFY_FAILED; no application request used HTTP/3"
chrome-h3-alt-svc-html-ignore-cert-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser natural Alt-Svc HTML diagnostic,HTTPS bootstrap plus advertised HTTP/3,"HTML page/subresource workload with CHROME_EXTRA_ARGS=--ignore-certificate-errors; no --origin-to-force-quic-on",false,false,"two HTML page requests plus two pixel subresources after Alt-Svc advertisement",true,false,browser-alt-svc-quic-candidate-cert-rejected,repro/quic-go-min-repro/artifacts/chrome-h3-alt-svc-html-ignore-cert-local-20260624,"server handled all 4 requests as HTTP/1.1; qlog still shows QUIC candidate closed with certificate unknown / CERTIFICATE_VERIFY_FAILED; ignore-certificate-errors was not sufficient to make natural Alt-Svc request use HTTP/3"
chrome-h3-alt-svc-html-mkcert-localhost-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser natural Alt-Svc mkcert control,HTTPS bootstrap plus advertised HTTP/3,"HTML page/subresource workload on localhost with CERT_MODE=mkcert and CHROME_USE_SPKI_EXCEPTION=0",false,false,"two HTML page requests plus two pixel subresources after Alt-Svc advertisement",true,false,browser-alt-svc-marked-broken,repro/quic-go-min-repro/artifacts/chrome-h3-alt-svc-html-mkcert-localhost-v2-20260624,"server handled all 4 requests as HTTP/1.1; qlog has no target packets; NetLog records localhost:4443 quic alternative_service and broken_alternative_services; no certificate error observed"
chrome-h3-alt-svc-html-mkcert-ip-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser natural Alt-Svc mkcert control,HTTPS bootstrap plus advertised HTTP/3,"HTML page/subresource workload on 127.0.0.1 with CERT_MODE=mkcert and CHROME_USE_SPKI_EXCEPTION=0",false,false,"two HTML page requests plus two pixel subresources after Alt-Svc advertisement",true,false,browser-alt-svc-quic-candidate-cert-rejected,repro/quic-go-min-repro/artifacts/chrome-h3-alt-svc-html-mkcert-ip-20260624,"server handled all 4 requests as HTTP/1.1; qlog shows QUIC candidate connection but it closes with certificate unknown / CERTIFICATE_VERIFY_FAILED; mkcert local trust did not make natural Alt-Svc request use HTTP/3"
chrome-public-h3-cloudflare-trace-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149,public WebPKI browser H3 discovery control,HTTPS with H3 discovery candidate,"Chrome headless visits https://cloudflare-quic.com/cdn-cgi/trace twice with no forced QUIC",false,false,"public HTTPS navigation",true,false,browser-public-application-h3-not-confirmed,repro/quic-go-min-repro/artifacts/chrome-public-h3-cloudflare-quic-trace-20260624,"bootstrap NetLog JSON shows target QUIC_SESSION=1 and dns_alpn_h3 discovery job=1, but target application_using_quic=0 and main_non_quic=1; application HTTP/3 not confirmed"
chrome-public-h3-google-204-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149,public WebPKI browser H3 discovery control,HTTPS with H3 discovery candidate,"Chrome headless visits https://www.google.com/generate_204 twice with no forced QUIC",false,false,"public HTTPS navigation",true,false,browser-public-application-h3-not-confirmed,repro/quic-go-min-repro/artifacts/chrome-public-h3-google-generate204-20260624,"bootstrap/second NetLog JSON shows target QUIC_SESSION and dns_alpn_h3 discovery jobs, but target application_using_quic=0 and main jobs are non-QUIC; application HTTP/3 not confirmed"
chrome-public-h3-youtube-204-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149,public WebPKI browser H3 discovery control,HTTPS with H3 discovery candidate,"Chrome headless visits https://www.youtube.com/generate_204 twice with no forced QUIC",false,false,"public HTTPS navigation",true,false,browser-public-application-h3-not-confirmed,repro/quic-go-min-repro/artifacts/chrome-public-h3-youtube-generate204-20260624,"Alt-Svc and dns_alpn_h3 discovery jobs observed, but target QUIC_SESSION=0 and application/main HTTP_STREAM_JOB using_quic=false; application HTTP/3 not confirmed"
chrome-h3-downlink-noheartbeat-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local browser forced QUIC origin,HTTP/3 over QUIC,"No network change; downlink-dominant streaming fetch without heartbeat",false,false,"GET /browser-downlink then streaming GET /downlink-stream",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-downlink-noheartbeat-20260624,"server request count 2; target using_quic jobs=2; qlog http3_frame observed; no path validation expected"
chrome-h3-downlink-heartbeat-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local browser forced QUIC origin,HTTP/3 over QUIC,"No network change; downlink-dominant streaming fetch with application heartbeat",false,false,"GET /browser-downlink then streaming GET /downlink-stream plus GET /heartbeat",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-downlink-heartbeat-20260624-rerun,"server request count 3; target using_quic jobs=3; qlog http3_frame observed; no path validation expected"
chrome-h3-downlink-noheartbeat-cdp-001,2026-06-24,PASS,Chrome 149 + quic-go H3,local browser forced QUIC origin with CDP runner,HTTP/3 over QUIC,"No network change; CDP real-time hold; downlink-dominant streaming fetch without heartbeat",false,false,"GET /browser-downlink then streaming GET /downlink-stream",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-downlink-noheartbeat-cdp-nochange-20260624,"classification no_path_change_baseline; server remote addr count 1; target QUIC sessions=1; qlog path validation=false"
chrome-h3-downlink-heartbeat-cdp-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser forced QUIC origin with CDP runner,HTTP/3 over QUIC,"No network change; CDP real-time hold; downlink streaming plus heartbeat",false,true,"GET /browser-downlink then streaming GET /downlink-stream plus GET /heartbeat",true,false,browser-multiple-quic-sessions-no-network-change,repro/quic-go-min-repro/artifacts/chrome-h3-downlink-heartbeat-cdp-nochange-grace-20260624,"classification multiple_quic_sessions_without_network_change; server remote addr count 2; target QUIC sessions=2; qlog path validation=false; tuple change alone is not CM evidence"
chrome-h3-downlink-heartbeat-cdp-inactive-toggle-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3,local browser forced QUIC origin with CDP runner,HTTP/3 over QUIC,"Inactive Thunderbolt Bridge toggle during downlink streaming; heartbeat after trigger; client path snapshots captured",false,true,"GET /browser-downlink then streaming GET /downlink-stream plus GET /heartbeat",true,false,trigger-no-client-path-change,repro/quic-go-min-repro/artifacts/chrome-h3-downlink-heartbeat-cdp-inactive-if-toggle-20260624,"classification multiple_quic_sessions_without_client_path_change; network_change_exit=0; client_path_change=no_client_path_change_observed; active interface en0 unchanged; target route lo0 unchanged; qlog path validation=false"
quic-go-local-h3-workload-rerun-20260624-001,2026-06-24,PASS,quic-go + HTTP/3,local direct origin replication,HTTP/3 over QUIC,"HTTP/3 POST upload before; AddPath -> Probe -> Switch; HTTP/3 GET download after",true,true,"before POST /upload 64KiB; after GET /download 64KiB",true,false,none,repro/quic-go-min-repro/artifacts/local-h3-workload-rerun-20260624,"replication run; client source port changed 54306 -> 53492; server observed before/after HTTP/3.0 requests with ALPN h3; qlog PATH_CHALLENGE/PATH_RESPONSE and HTTP/3 frames observed"
quic-go-local-h3-midflight-upload-rerun-20260624-001,2026-06-24,PASS,quic-go + HTTP/3,local direct origin replication,HTTP/3 over QUIC,"HTTP/3 POST /upload body in flight; migration triggered after threshold",true,true,"1MiB upload body",true,false,none,repro/quic-go-min-repro/artifacts/local-h3-midflight-rerun-20260624/midflight-upload,"replication run; migration triggered at 532480 bytes; server decoded full 1MiB body; qlog PATH_CHALLENGE/PATH_RESPONSE and HTTP/3 frames observed"
quic-go-local-h3-midflight-download-rerun-20260624-001,2026-06-24,PASS,quic-go + HTTP/3,local direct origin replication,HTTP/3 over QUIC,"HTTP/3 streaming GET /download response in flight; migration triggered after threshold",true,true,"1MiB streaming download body",true,false,none,repro/quic-go-min-repro/artifacts/local-h3-midflight-rerun-20260624/midflight-download,"replication run; migration triggered at 524288 bytes; client decoded full 1MiB response; qlog PATH_CHALLENGE/PATH_RESPONSE and HTTP/3 frames observed"
chrome-public-h3-cloudflare-home-20260624,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149,public WebPKI browser H3 observation,HTTPS with H3 discovery candidate,"Chrome headless visits https://www.cloudflare.com/ twice with natural Alt-Svc discovery",false,false,"public HTTPS page navigation and subresource loading",true,false,browser-public-application-h3-not-confirmed,repro/quic-go-min-repro/artifacts/chrome-public-h3-cloudflare-home-20260624,"classification public_h3_discovery_without_application_h3; bootstrap application_using_quic=0 with dns_alpn_h3=112; second text fallback showed discovery hints; Chrome exits 124 due page not quiescing"
chrome-public-h3-cloudflare-blog-20260624,2026-06-24,PASS,Chrome 149,public WebPKI browser H3 observation,HTTPS with natural HTTP/3 via Alt-Svc/DNS ALPN,"Chrome headless visits https://blog.cloudflare.com/ twice with natural Alt-Svc discovery",false,false,"public HTTPS page navigation and subresource loading",true,false,none,repro/quic-go-min-repro/artifacts/chrome-public-h3-cloudflare-blog-20260624,"classification public_natural_h3_observed; bootstrap target application_using_quic=75 and QUIC_SESSION=1; main jobs still included non-QUIC; third-party endpoint is not CM evidence"
chrome-public-h3-bing-home-20260624,2026-06-24,PASS,Chrome 149,public WebPKI browser H3 observation,HTTPS with natural HTTP/3 via Alt-Svc/DNS ALPN,"Chrome headless visits https://www.bing.com/ twice with natural Alt-Svc discovery",false,false,"public HTTPS page navigation and subresource loading",true,false,none,repro/quic-go-min-repro/artifacts/chrome-public-h3-bing-home-20260624,"classification public_natural_h3_observed; second target application_using_quic=27 and QUIC_SESSION=1; main jobs still included non-QUIC; third-party endpoint is not CM evidence"
chrome-public-h3-facebook-home-20260624,2026-06-24,PASS,Chrome 149,public WebPKI browser H3 observation,HTTPS with natural HTTP/3 via Alt-Svc/DNS ALPN,"Chrome headless visits https://www.facebook.com/ twice with natural Alt-Svc discovery",false,false,"public HTTPS page navigation and subresource loading",true,false,none,repro/quic-go-min-repro/artifacts/chrome-public-h3-facebook-home-20260624,"classification public_natural_h3_observed; second target application_using_quic=9 and QUIC_SESSION=1; main jobs still included non-QUIC; third-party endpoint is not CM evidence"
chrome-public-h3-instagram-home-20260624,2026-06-24,PASS,Chrome 149,public WebPKI browser H3 observation,HTTPS with natural HTTP/3 via Alt-Svc/DNS ALPN,"Chrome headless visits https://www.instagram.com/ twice with natural Alt-Svc discovery",false,false,"public HTTPS page navigation and subresource loading",true,false,none,repro/quic-go-min-repro/artifacts/chrome-public-h3-instagram-home-20260624,"classification public_natural_h3_observed; second target application_using_quic=12 and QUIC_SESSION=1; main jobs still included non-QUIC; third-party endpoint is not CM evidence"
chrome-h3-rebinding-noheartbeat-local-001,2026-06-24,PASS_FEASIBILITY,Chrome 149 + quic-go H3 + local UDP rebinding proxy,local browser NAT rebinding proxy,HTTP/3 over QUIC,"local UDP proxy switches upstream socket A -> B during downlink stream; no application heartbeat",true,false,"GET /browser-downlink then streaming GET /downlink-stream",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-noheartbeat-smoke-20260624,"classification nat_rebinding_path_validation_without_observed_tuple_change; proxy switched 127.0.0.1:58046 -> 127.0.0.1:49564 and qlog PATH_CHALLENGE/PATH_RESPONSE observed; request-level remote addr count stayed 1 because no post-rebind application request was created; NetLog target QUIC session count 1; this is local NAT-rebinding feasibility, not browser active handover"
chrome-h3-rebinding-heartbeat-local-001,2026-06-24,PASS_NEGATIVE_CONTROL,Chrome 149 + quic-go H3 + local UDP rebinding proxy,local browser NAT rebinding proxy,HTTP/3 over QUIC,"local UDP proxy switches upstream socket A -> B during downlink stream; heartbeat fetch after rebind",true,true,"GET /browser-downlink, streaming GET /downlink-stream, then GET /heartbeat",true,false,browser-multiple-quic-sessions-nat-rebinding,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-heartbeat-smoke2-20260624,"classification nat_rebinding_multiple_quic_sessions; proxy switched 127.0.0.1:49851 -> 127.0.0.1:56349; server request remote addr count 2 and qlog PATH_CHALLENGE/PATH_RESPONSE observed, but Chrome NetLog target QUIC session count was 2; tuple change plus path validation is still insufficient to claim browser session continuity"
chrome-h3-rebinding-upload-local-001,2026-06-24,PASS_FEASIBILITY,Chrome 149 + quic-go H3 + local UDP rebinding proxy,local browser NAT rebinding proxy,HTTP/3 over QUIC,"local UDP proxy switches upstream socket A -> B during streaming browser fetch upload",true,false,"GET /browser-upload then streaming POST /upload-sink 256KiB",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-repetition-20260624,"3/3 upload repetitions PASS; each upload-sink request received 262144 bytes; qlog PATH_CHALLENGE/PATH_RESPONSE observed in every run; Chrome NetLog target QUIC session count stayed 1; request-level server remote addr count stayed 1, so request logs alone miss packet-level rebinding; local NAT-rebinding feasibility, not public browser handover"
chrome-h3-rebinding-timing-sensitivity-local-001,2026-06-24,PASS_FEASIBILITY,Chrome 149 + quic-go H3 + local UDP rebinding proxy,local browser NAT rebinding proxy,HTTP/3 over QUIC,"local UDP proxy switches upstream socket A -> B at 500ms or 5s during downlink/upload browser workloads",true,false,"downlink streaming with/without heartbeat and streaming POST /upload-sink 256KiB",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-early-20260624,"12/12 timing-sensitivity runs PASS; early and late rebinding both produced proxy packet rebinding, qlog path validation, and Chrome target NetLog path-validation frames; average B packet share changed from 0.618/0.800 early to 0.172/0.181 late; heartbeat/session evidence remained timing-sensitive; local NAT-rebinding feasibility, not public browser handover"
chrome-h3-rebinding-old-path-drop-local-001,2026-06-24,PASS_FEASIBILITY,Chrome 149 + quic-go H3 + local UDP rebinding proxy,local browser NAT rebinding proxy old-path-drop,HTTP/3 over QUIC,"local UDP proxy switches upstream socket A -> B and drops A-side server packets after switch",true,false,"downlink streaming with/without heartbeat and streaming POST /upload-sink 256KiB",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624,"11/11 old-path-drop rows PASS; downlink 7/7 completed with 0 dropped A-side server packets after switch; upload 4/4 completed while 60 total A-side server packets were dropped after switch and each /upload-sink received 262144 bytes; repeated upload rows kept one Chrome target QUIC session, while heartbeat downlink rows still produced multiple sessions; local NAT-rebinding feasibility, not public browser handover"
chrome-h3-rebinding-old-path-drop-stress-local-001,2026-06-24,PASS_FEASIBILITY,Chrome 149 + quic-go H3 + local UDP rebinding proxy,local browser NAT rebinding proxy old-path-drop stress,HTTP/3 over QUIC,"local UDP proxy switches upstream socket A -> B at 500ms and drops A-side server packets after switch under 1MiB/4MiB workloads",true,false,"1MiB/4MiB downlink streaming with optional heartbeat and 1MiB/4MiB streaming POST /upload-sink",true,false,none,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-stress-20260624,"5/5 stress rows PASS; configured 6MiB downlink and received 5MiB upload; qlog and Chrome target NetLog path validation 5/5; old-path drop 5/5 with 105 total A-side server packets and 74279 bytes dropped; 1MiB heartbeat downlink still produced two Chrome target QUIC sessions; local NAT-rebinding stress control, not public browser handover"
